CODE;Name;Latin;text;greek text;license notice HTML (https://lizenzhinweisgenerator.de/);Photolink;license notice for plain text ;distribution;wingspan;weight;diet;genome_size
GALGA;Chicken;Gallus gallus domesticus;Omnivorous, domesticated bird.;Παμφάγο, εξημερωμένο πουλί.;"<a href=""https://commons.wikimedia.org/wiki/User:AnRo0002"">AnRo0002</a>, <a href=""https://commons.wikimedia.org/wiki/File:20161005Gallus_gallus_domesticus3.jpg"">20161005Gallus gallus domesticus3</a>, <a href=""https://creativecommons.org/publicdomain/zero/1.0/legalcode"" rel=""license"">CC0 1.0</a>";https://commons.wikimedia.org/wiki/File:20161005Gallus_gallus_domesticus3.jpg;AnRo0002 (https://commons.wikimedia.org/wiki/File:20161005Gallus_gallus_domesticus3.jpg), „20161005Gallus gallus domesticus3“, https://creativecommons.org/publicdomain/zero/1.0/legalcode;Southeastern Asia (wild form), domesticated worldwide;45-60 cm;2.5-4 kg;Omnivorous;2910138 mb
GAVST;Red-throated loon;Gavia stellata;"Migratory aquatic bird of the northern hemisphere.
";"Μεταναστευτικό υδρόβιο πτηνό του βορείου ημισφαιρίου. Απαντά και στον ελλαδικό χώρο.
";"<a href=""https://www.flickr.com/people/8101022@N05"">ALAN SCHMIERER</a>, <a href=""https://commons.wikimedia.org/wiki/File:090_-_RED-THROATED_LOON_(3-25-10)_morro_bay,_slo_co,_ca_(3)_(8720115139).jpg"">090 - RED-THROATED LOON (3-25-10) morro bay, slo co, ca (3) (8720115139)</a>, <a href=""https://creativecommons.org/publicdomain/zero/1.0/legalcode"" rel=""license"">CC0 1.0</a>";https://commons.wikimedia.org/wiki/File:090_-_RED-THROATED_LOON_(3-25-10)_morro_bay,_slo_co,_ca_(3)_(8720115139).jpg;ALAN SCHMIERER (https://commons.wikimedia.org/wiki/File:090_-_RED-THROATED_LOON_(3-25-10)_morro_bay,_slo_co,_ca_(3)_(8720115139).jpg), „090 - RED-THROATED LOON (3-25-10) morro bay, slo co, ca (3) (8720115139)“, https://creativecommons.org/publicdomain/zero/1.0/legalcode;Northern Hemisphere;91–120 cm;1–3 kg ;Fish;17 mb
GEOFO;Medium ground-finch;Geospiza fortis;"A granivorous bird, one of the Galápagos' finches that inspired Darwin to write its famous ""On the Origin of Species"".";"Σποροφάγο πουλί, ένα από τους σπίνους των νησιών Γκαλάπαγκος, που ενέπνευσαν το Δαρβίνο να γράψει το διάσημο βιβλίο του ""Περί της Καταγωγής των Ειδών"".";"<a href=""https://commons.wikimedia.org/wiki/User:Daderot"">Daderot</a>, <a href=""https://commons.wikimedia.org/wiki/File:Geospiza_fortis_-_Hessisches_Landesmuseum_Darmstadt_-_Darmstadt,_Germany_-_DSC00099.jpg"">Geospiza fortis - Hessisches Landesmuseum Darmstadt - Darmstadt, Germany - DSC00099</a>, <a href=""https://creativecommons.org/publicdomain/zero/1.0/legalcode"" rel=""license"">CC0 1.0</a>";https://commons.wikimedia.org/wiki/File:Geospiza_fortis_-_Hessisches_Landesmuseum_Darmstadt_-_Darmstadt,_Germany_-_DSC00099.jpg;Daderot (https://commons.wikimedia.org/wiki/File:Geospiza_fortis_-_Hessisches_Landesmuseum_Darmstadt_-_Darmstadt,_Germany_-_DSC00099.jpg), „Geospiza fortis - Hessisches Landesmuseum Darmstadt - Darmstadt, Germany - DSC00099“, https://creativecommons.org/publicdomain/zero/1.0/legalcode;Galápagos;???;18-32 g;Seeds, grains and nuts ;unknown
HALAL;White-tailed eagle;Haliaeetus albicilla;"A bird of prey, widely distributed across temperate Europe and Asia.
";Αρπακτικό πουλί που εξαπλώνεται στις εύκρατες περιοχές της Ευρώπης και της Ασίας.;"<a href=""https://commons.wikimedia.org/wiki/User:Gin_tonic"">Tokumi Ohsaka</a>, <a href=""https://commons.wikimedia.org/wiki/File:Wiki-c-ojirowashi.jpg"">Wiki-c-ojirowashi</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-self"">Wikimedia Commons</a>";https://commons.wikimedia.org/wiki/File:Wiki-c-ojirowashi.jpg;Tokumi Ohsaka (https://commons.wikimedia.org/wiki/File:Wiki-c-ojirowashi.jpg), „Wiki-c-ojirowashi“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-self;Eurasia;178-245 cm; 4-5 kg;Prey;2910139 mb
HALLE;Bald eagle;Haliaeetus leucocephalus;The national bird of USA. It lives near water areas such as shores, rivers, swamps and large lakes, and up to 2000m altitude. ;Το εθνικό σύμβολο των ΗΠΑ.  Ζει κοντά σε περιοχές με νερό, όπως ακτές, ποτάμια, βάλτους και μεγάλες λίμνες, και  μέχρι τα 2000m υψόμετρο.;"<a href=""https://commons.wikimedia.org/wiki/User:Ken_Thomas"">Ken Thomas</a>, <a href=""https://commons.wikimedia.org/wiki/File:Bald_Eagle-27527-9.jpg"">Bald Eagle-27527-9</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-self"">Wikimedia Commons</a>";https://commons.wikimedia.org/wiki/File:Bald_Eagle-27527-9.jpg;Ken Thomas (https://commons.wikimedia.org/wiki/File:Bald_Eagle-27527-9.jpg), „Bald Eagle-27527-9“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-self;N. America;180-230 cm;3-6 kg;Prey;18 mb
LEPDI;Cuckoo-roller;Leptosomus discolor;Α medium-large bird, inhabiting forests and woodlands in Madagascar and Comoro islands. It eats small lizards and insects.;Ζει σε δασικές περιοχές της Μαδαγασκάρης και των νησιών Κομόρο. Είναι σαρκοφάγο και τρέφεται με μικρές σαύρες και έντομα.;"anonymous, <a href=""https://commons.wikimedia.org/wiki/File:Leptosomus_discolor_-_1796-1808_-_Print_-_Iconographia_Zoologica_-_Special_Collections_University_of_Amsterdam_-_UBA01_IZ16700269.tif"">Leptosomus discolor - 1796-1808 - Print - Iconographia Zoologica - Special Collections University of Amsterdam - UBA01 IZ16700269</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-old"">Wikimedia Commons</a>";https://commons.wikimedia.org/wiki/File:Leptosomus_discolor_-_1796-1808_-_Print_-_Iconographia_Zoologica_-_Special_Collections_University_of_Amsterdam_-_UBA01_IZ16700269.tif;anonymous (https://commons.wikimedia.org/wiki/File:Leptosomus_discolor_-_1796-1808_-_Print_-_Iconographia_Zoologica_-_Special_Collections_University_of_Amsterdam_-_UBA01_IZ16700269.tif), „Leptosomus discolor - 1796-1808 - Print - Iconographia Zoologica - Special Collections University of Amsterdam - UBA01 IZ16700269“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-old;Madagascar and Comoro islands;???;160–301 g ; Inscets;unknown
MANVI;Golden-collared manakin;Manacus vitellinus;"It lives in dense  forests of Panama and western Colombia.
";Ζει σε δασώδεις περιοχές του Παναμά και της Δ. Κολομβίας.;"<a href=""https://www.flickr.com/people/30818542@N04"">Francesco Veronesi</a> from Italy, <a href=""https://commons.wikimedia.org/wiki/File:Golden-collared_Manakin_-_Darien_-_Panama_(48446346507).jpg"">Golden-collared Manakin - Darien - Panama (48446346507)</a>, <a href=""https://creativecommons.org/licenses/by-sa/2.0/legalcode"" rel=""license"">CC BY-SA 2.0</a>";https://commons.wikimedia.org/wiki/File:Golden-collared_Manakin_-_Darien_-_Panama_(48446346507).jpg;Francesco Veronesi from Italy (https://commons.wikimedia.org/wiki/File:Golden-collared_Manakin_-_Darien_-_Panama_(48446346507).jpg), „Golden-collared Manakin - Darien - Panama (48446346507)“, https://creativecommons.org/licenses/by-sa/2.0/legalcode;Panama and W. Colombia;???;18 g;Small fruits and insects;2910140 mb
MELGA;Turkey;Meleagris gallopavo;"It is native to North America. It is the ancestor to the domestic turkey.
";Η άγρια γαλοπούλα είναι θαγενές πουλί της Ν. Αμερικής και πρόγονος της οικόσιτης γαλοπούλας.;"<a href=""https://www.flickr.com/people/8101022@N05"">ALAN SCHMIERER</a>, <a href=""https://commons.wikimedia.org/wiki/File:089_-_WILD_TURKEY_(3-20-09)_canet_rd,_sloco,_ca_(3)_(8719904231).jpg"">089 - WILD TURKEY (3-20-09) canet rd, sloco, ca (3) (8719904231)</a>, <a href=""https://creativecommons.org/publicdomain/zero/1.0/legalcode"" rel=""license"">CC0 1.0</a>";https://commons.wikimedia.org/wiki/File:089_-_WILD_TURKEY_(3-20-09)_canet_rd,_sloco,_ca_(3)_(8719904231).jpg;ALAN SCHMIERER (https://commons.wikimedia.org/wiki/File:089_-_WILD_TURKEY_(3-20-09)_canet_rd,_sloco,_ca_(3)_(8719904231).jpg), „089 - WILD TURKEY (3-20-09) canet rd, sloco, ca (3) (8719904231)“, https://creativecommons.org/publicdomain/zero/1.0/legalcode;N. America (wild form), domesticated worldwide;125-144 cm;4-7 kg;Omnivorous;19 mb
MELUN;Budgerigar;Melopsittacus undulatus;"Α small, long-tailed, seed-eating parrot, usually nicknamed as ""the budgie"". It is bred in captivity as pet. In the wild it is found throughout the drier parts of Australia.";Ένας μικρός σποροφάγος παπαγάλος με μακριά ουρά. Εκτρέφεται σε αιχμαλωσία, ως κατοικίδιο. Στην άγρια ​​φύση βρίσκεται σε όλες τις πιο ξηρές περιοχές της Αυστραλίας.;"anonymous, <a href=""https://commons.wikimedia.org/wiki/File:Twogreenmalebudgies.jpg"">Twogreenmalebudgies</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-self"">Wikimedia Commons</a>";https://commons.wikimedia.org/wiki/File:Twogreenmalebudgies.jpg;anonymous (https://commons.wikimedia.org/wiki/File:Twogreenmalebudgies.jpg), „Twogreenmalebudgies“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-self;Australia;30 cm;30-40 g;Seeds, grains and nuts ;unknown
MERNU;Carmine bee-eater;Merops nubicoides;A richly coloured bird, predominantly carmine with blue crown and undertail. It lives across sub-equatorial Africa. It eats bees and other flying insects.;Ένα χρωματιστό πουλί, κόκκινο με μπλε στο κεφάλι και στην ουρά. Ζει στην Αφρική στις περιοχές βόρεια και νότια του ισημερινού. Τρέφεται με μέλισσες και άλλα ιπτάμενα έντομα. ;"<a href=""https://www.flickr.com/people/9919745@N03"">Ron Knight</a> from Seaford, East Sussex, United Kingdom, <a href=""https://commons.wikimedia.org/wiki/File:Merops_nubicoides,_Shakawa,_Botswana_1.jpg"">Merops nubicoides, Shakawa, Botswana 1</a>, <a href=""https://creativecommons.org/licenses/by/2.0/legalcode"" rel=""license"">CC BY 2.0</a>";https://commons.wikimedia.org/wiki/File:Merops_nubicoides,_Shakawa,_Botswana_1.jpg;Ron Knight from Seaford, East Sussex, United Kingdom (https://commons.wikimedia.org/wiki/File:Merops_nubicoides,_Shakawa,_Botswana_1.jpg), „Merops nubicoides, Shakawa, Botswana 1“, https://creativecommons.org/licenses/by/2.0/legalcode;Across sub-equatorial Africa;28-32 cm;40-67 g;Inscects;2910141 mb
MESUN;Brown mesite;Mesitornis unicolor;Ground-dwelling bird, endemic to Madagascar. It is considered as vulnerable species in IUCN Red List.;"Εδαφόβιο πουλί, ενδημικό της Μαδαγασκάρης. Αναφέρεται ως ""τρωτό"" στην Κόκκινη Λίστα της IUCN.";"Marc Athanase Parfait Œillet Des Murs (1804-1878), <a href=""https://commons.wikimedia.org/wiki/File:Mesitornis_unicolor_1849.jpg"">Mesitornis unicolor 1849</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-old"">Wikimedia Commons</a>";https://commons.wikimedia.org/w/index.php?search=Mesitornis+Unicolore&title=Special:MediaSearch&go=Go&type=image;Marc Athanase Parfait Œillet Des Murs (1804-1878) (https://commons.wikimedia.org/wiki/File:Mesitornis_unicolor_1849.jpg), „Mesitornis unicolor 1849“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-old;Madagascar;???;150 g;Seeds and inscets;20 mb
NESNO;Kea;Nestor notabilis;Α species of large parrot, found in the forested and alpine regions of the South Island of New Zealand.;Eίδος μεγαλόσωμου παπαγάλου που ζει σε δασικές και αλπικές περιοχές του νότιου νησιού της Νέας Ζηλανδίας.;"<a href=""https://www.flickr.com/people/88123769@N02"">Bernard Spragg. NZ</a> from Christchurch, New Zealand, <a href=""https://commons.wikimedia.org/wiki/File:The_Kea_(_Nestor_notabilis)_(8100901392).jpg"">The Kea ( Nestor notabilis) (8100901392)</a>, <a href=""https://creativecommons.org/publicdomain/zero/1.0/legalcode"" rel=""license"">CC0 1.0</a>";https://commons.wikimedia.org/wiki/File:The_Kea_(_Nestor_notabilis)_(8100901392).jpg;Bernard Spragg. NZ from Christchurch, New Zealand (https://commons.wikimedia.org/wiki/File:The_Kea_(_Nestor_notabilis)_(8100901392).jpg), „The Kea ( Nestor notabilis) (8100901392)“, https://creativecommons.org/publicdomain/zero/1.0/legalcode;South isl. of New Zealand;~100 cm;922 g;Omnivorous;unknown
NIPNI;Crested ibis;Nipponia nippon;Native to eastern Asia. Its head is partially bare, showing red skin, and it has white plumes on the nape.;"Ιθαγενές πουλί της ανατολικής Ασίας. Το κεφάλι του είναι εν μέρει γυμνό, με κόκκινο δέρμα και λευκό λοφίο.
";"<a href=""https://commons.wikimedia.org/wiki/User:Danielinblue"">Danielinblue</a>, <a href=""https://commons.wikimedia.org/wiki/File:Zhuhuan2_xi'an.jpg"">Zhuhuan2 xi'an</a>, <a href=""https://creativecommons.org/licenses/by-sa/3.0/legalcode"" rel=""license"">CC BY-SA 3.0</a>";https://commons.wikimedia.org/wiki/File:Zhuhuan2_xi%27an.jpg;Danielinblue (https://commons.wikimedia.org/wiki/File:Zhuhuan2_xi'an.jpg), „Zhuhuan2 xi'an“, https://creativecommons.org/licenses/by-sa/3.0/legalcode;Asia;23 cm;1,8 kg;Frogs, small fish, crabs, river snails and other mollusks as well as beetles.;2910142 mb
OPHHO;Hoatzin;Opisthocomus hoazin;A folivore (leaf-eating) tropical bird found in swamps, riparian forests, and mangroves of the Amazon and the Orinoco basins in South America.;Φυλλοφάγο τροπικό πουλί που ζει σε βάλτους και παραποτάμια και μαγγρόβια δάση των ποταμών Αμαζονίου και Ορινόκο της Νότιας Αμερικής.;"<a href=""https://www.wikidata.org/wiki/Q18508574"">Paul Louis Oudart</a> artist QS:P170,Q18508574 <a href=""/w/index.php?title=Creator:C._Motte&amp;action=edit&amp;redlink=1"">Creator:C. Motte</a>, <a href=""https://commons.wikimedia.org/wiki/File:Opisthocomus_hoazin_-_1825-1834_-_Print_-_Iconographia_Zoologica_-_Special_Collections_University_of_Amsterdam_-_UBA01_IZ19300059.tif"">Opisthocomus hoazin - 1825-1834 - Print - Iconographia Zoologica - Special Collections University of Amsterdam - UBA01 IZ19300059</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-old"">Wikimedia Commons</a>";https://commons.wikimedia.org/wiki/File:Opisthocomus_hoazin_-_1825-1834_-_Print_-_Iconographia_Zoologica_-_Special_Collections_University_of_Amsterdam_-_UBA01_IZ19300059.tif;Paul Louis Oudart artist QS:P170,Q18508574 Creator:C. Motte (https://commons.wikimedia.org/wiki/File:Opisthocomus_hoazin_-_1825-1834_-_Print_-_Iconographia_Zoologica_-_Special_Collections_University_of_Amsterdam_-_UBA01_IZ19300059.tif), „Opisthocomus hoazin - 1825-1834 - Print - Iconographia Zoologica - Special Collections University of Amsterdam - UBA01 IZ19300059“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-old;S. America;???;700-900 g;Leaves, flowers, fruits;21 mb
PELCR;Dalmatian pelican;Pelecanus crispus;Α large freshwater bird living in lakes, rivers, deltas and estuaries of central Eurasia.;Ένα μεγάλο παρυδάτιο πουλί που ζει σε λίμνες, ποτάμια, δέλτα και εκβολές της κεντρικής Ευρασίας.;;;;Central Eurasia;~320 cm;9,5 kg;Fish;unknown
PHALE;White-tailed tropicbird;Phaethon lepturus;A small seabird of the tropical Atlantic, western Pacific and Indian Oceans.;Μικρό θαλασοπούλι που περιπλανιέται στις θερμές, τροπικές θάλασσες των τριών μεγάλων ωκεανών της Γης (Ειρηνικός, Ατλαντικός, Ινδικός).;"<a href=""https://commons.wikimedia.org/wiki/User:Dunog"">Dunog</a>, <a href=""https://commons.wikimedia.org/wiki/File:Paille2007-12-23-.JPG"">Paille2007-12-23-</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-self"">Wikimedia Commons</a>";https://commons.wikimedia.org/wiki/File:Paille2007-12-23-.JPG;Dunog (https://commons.wikimedia.org/wiki/File:Paille2007-12-23-.JPG), „Paille2007-12-23-“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-self;tropical Atlantic, western Pacific and Indian Oceans;94 cm;330 g;Small, surface-dwelling pelagic fish and squid;22 mb
PHACA;Great cormorant;Phalacrocorax carbo;A seabird that breeds in much of the Old World, Australia, and the Atlantic coast of North America.  It feeds on the sea, in estuaries, and on freshwater lakes and rivers. ;Θαλασσοπούλι που αναπαράγεται σε μεγάλο μέρος του Παλαιού Κόσμου, στην Αυστραλία και στις ακτές του Ατλαντικού της Β. Αμερικής. Τρέφεται στη θάλασσα, στις εκβολές ποταμών αλλά και σε λίμνες και ποτάμια.;;;;very common and widespread species;152 cm;2,6-3,7 kg;Fish;2910143 mb
PHORU;American flamingo;Phoenicopterus ruber;It breeds in South America, West Indies, and tropical areas of continental North America. It is found in saline lagoons, mudflats, and shallow, brackish coastal or inland lakes. ;Aναπαράγεται στη Νότια Αμερική, sτις Δυτικές Ινδίες και sτις τροπικές περιοχές της ηπειρωτικής Β. Αμερικής. Βρίσκεται σε αλμυρές λιμνοθάλασσες, λασπότοπους και ρηχές, υφάλμυρες, παράκτιες ή εσωτερικές λίμνες.;"<a href=""https://commons.wikimedia.org/wiki/User:Verstreken"">Verstreken</a>, <a href=""https://commons.wikimedia.org/wiki/File:Animal_Flamingo.jpg"">Animal Flamingo</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-self"">Wikimedia Commons</a>";https://commons.wikimedia.org/wiki/File:Animal_Flamingo.jpg;Verstreken (https://commons.wikimedia.org/wiki/File:Animal_Flamingo.jpg), „Animal Flamingo“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-self;America;140 cm;2.2-2.8 kg;crustaceans -amphipods;unknown
PICPU;Downy woodpecker;Picoides pubescens;The smallest woodpecker, native to forested areas, mainly deciduous, of N. America.;"Ο μικρότερος δρυοκολάπτης της Β. Αμερικής, που ζει κυρίως σε φυλλοβόλα δάση.
";"<a href=""https://commons.wikimedia.org/wiki/User:Tgies001"">Tgies001</a>, <a href=""https://commons.wikimedia.org/wiki/File:Male_Downy_Woodpecker.jpg"">Male Downy Woodpecker</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-self"">Wikimedia Commons</a>";https://commons.wikimedia.org/wiki/File:Male_Downy_Woodpecker.jpg;Tgies001 (https://commons.wikimedia.org/wiki/File:Male_Downy_Woodpecker.jpg), „Male Downy Woodpecker“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-self;N. America;25-30 cm;21-28 gr;insects (wood-boring larvae, caterpillars and ants), berries and seeds ;2910144 mb
PODCR;Great-crested grebe;Podiceps cristatus;A water bird, that breeds in vegetated areas of freshwater lakes, across Pallearctic. It is a migratory species wintering on freshwater lakes and reservoirs or the coast.;Παρυδάτιο πουλί, που αναπαράγεται σε περιοχές σε λίμνες με βλάστηση, στην Παλεαρκτική. Είναι μεταναστευτικό είδος και διαχειμάζει σε λίμνες και ταμιευτήρες γλυκού νερού ή στις ακτές.;;;;Palearctic;88 cm;730 g;Fish, small crustaceans, insects, small frogs and newts;23 mb
PTEGU;Yellow-throated sandgrouse;Pterocles gutturalis;A ground dwelling bird restricted to treeless, open country, such as plains, savannahs, and semi-deserts of Africa. ;Ένα εδαφόβιο πουλί που ζει σε άδενδρες, ανοιχτές εκτάσεις, όπως πεδιάδες, σαβάνες και ημιερήμους της Αφρικής.;"<a href=""https://en.wikipedia.org/wiki/en:Andrew_Smith_(zoologist)"">Andrew Smith</a> creator QS:P170,Q507606, <a href=""https://commons.wikimedia.org/wiki/File:Pterocles_gutturalis.jpg"">Pterocles gutturalis</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-old"">Wikimedia Commons</a>";https://commons.wikimedia.org/wiki/File:Pterocles_gutturalis.jpg;Andrew Smith creator QS:P170,Q507606 (https://commons.wikimedia.org/wiki/File:Pterocles_gutturalis.jpg), „Pterocles gutturalis“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-old;Africa;70-73 cm;300-460g;Seeds and legumes;unknown
PYGAD;Adelie penguin;Pygoscelis adeliae;It is common along the entire coast of the Antarctic continent. It has a conspicuous white eye ring around a black iris.;Ζει αποκλειστικά στις ακτές της Ανταρκτικής. έχει έναν χαρακτηριστικό λευκό δακτύλιο γύρω από το μάτι.;"Denis Luyten, <a href=""https://commons.wikimedia.org/wiki/File:2007_Snow-Hill-Island_Luyten-De-Hauwere-Adelie-Penguin-11.jpg"">2007 Snow-Hill-Island Luyten-De-Hauwere-Adelie-Penguin-11</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-author"">Wikimedia Commons</a>";https://commons.wikimedia.org/wiki/File:2007_Snow-Hill-Island_Luyten-De-Hauwere-Adelie-Penguin-11.jpg;Denis Luyten (https://commons.wikimedia.org/wiki/File:2007_Snow-Hill-Island_Luyten-De-Hauwere-Adelie-Penguin-11.jpg), „2007 Snow-Hill-Island Luyten-De-Hauwere-Adelie-Penguin-11“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-author;Antarctica;35-70 cm;4.7 kg;Fish;2910145 mb
STRCA;Common ostrich;Struthio camelus;A flightless bird, native to certain large areas of Africa. It is the largest living bird species on earth.;Το μεγαλύτερο πουλί που ζει σήμερα στον πλανήτη. Δεν μπορεί να πετάξει αλλά μπορεί να τρέξει. Συναντάται σε ανοιχτές εκτάσεις της Αφρικής. ;;;;Africa;~200 cm;157 kg;Seeds, shrubs, grass, fruit, and flowers;24 mb
TAEGU;Zebra finch;Taeniopygia guttata;A seed-eating bird, that travels in large flocks. It lives in Australia and Indonesia.;Σποροφάγο πουλί που ταξιδεύει σε μεγάλα σμήνη στην Αυστραλία και στην Ινδονησία.;"<a href=""https://en.wikipedia.org/wiki/nl:User:PICHT"">PICHT</a> at <a href=""https://en.wikipedia.org/wiki/nl:"">Dutch Wikipedia</a>, <a href=""https://commons.wikimedia.org/wiki/File:Taeniopygia_guttata_(male).jpg"">Taeniopygia guttata (male)</a>, marked as public domain, more details on <a href=""https://commons.wikimedia.org/wiki/Template:PD-user"">Wikimedia Commons</a>";https://commons.wikimedia.org/wiki/File:Taeniopygia_guttata_(male).jpg;PICHT at Dutch Wikipedia (https://commons.wikimedia.org/wiki/File:Taeniopygia_guttata_(male).jpg), „Taeniopygia guttata (male)“, marked as public domain, more details on Wikimedia Commons: https://commons.wikimedia.org/wiki/Template:PD-user;Australia, Indonesia;20-22 cm;12 g;Seeds;unknown
TAUER;Red-crested turaco;Tauraco erythrolophus;"It is a frugivorous bird, which eats raw fruits, roots, shoots, nuts and seeds. It is endemic to western Angola.
";"Είναι καρποφάγο πουλί, ενδημικό της  Δ. Ανγκόλας.
";"<a href=""https://commons.wikimedia.org/wiki/User:Catleeball"">Cat Lee Ball</a>, <a href=""https://commons.wikimedia.org/wiki/File:Turaco-bird-leipzig-zoo.jpg"">Turaco-bird-leipzig-zoo</a>, <a href=""https://creativecommons.org/publicdomain/zero/1.0/legalcode"" rel=""license"">CC0 1.0</a>";https://commons.wikimedia.org/wiki/File:Turaco-bird-leipzig-zoo.jpg;Cat Lee Ball (https://commons.wikimedia.org/wiki/File:Turaco-bird-leipzig-zoo.jpg), „Turaco-bird-leipzig-zoo“, https://creativecommons.org/publicdomain/zero/1.0/legalcode;Africa;???;210-325 g;Insects, fruits, nuts, leaves, flowers, seeds, acacia and figs;2910146 mb
TINMA;White-throated tinamou;Tinamus guttatus;It inhabits sub-tropical and tropical lowland Amazon forests at around 500 m altitude or lower. It eats seeds, fruits and invertebrate animals.;Ζει σε υποτροπικά και τροπικά πεδινά δάση του Αμαζονίου, σε περίπου 500 m υψόμετρο ή χαμηλότερα. Τρώει σπόρους, φρούτα και ασπόνδυλα ζώα.;"anonymous, <a href=""https://commons.wikimedia.org/wiki/File:Tinamus_guttatus1.jpg"">Tinamus guttatus1</a>, <a href=""https://creativecommons.org/licenses/by-sa/2.5/legalcode"" rel=""license"">CC BY-SA 2.5</a>";https://commons.wikimedia.org/wiki/File:Tinamus_guttatus1.jpg;anonymous (https://commons.wikimedia.org/wiki/File:Tinamus_guttatus1.jpg), „Tinamus guttatus1“, https://creativecommons.org/licenses/by-sa/2.5/legalcode;Amazon;???;623-800 g;Seeds, fruits and invertebrate animals;25 mb
TYTAL;Barn owl;Tyto alba;It is the most widely distributed species of owl in the world. It hunts mainly small mammals on the ground, which they locate by sound, since their hearing is very acute. ;Είναι το πιο διαδεδομένο είδος κουκουβάγιας στον κόσμο. Κυνηγάει κυρίως μικρά θηλαστικά στο έδαφος, τα οποία εντοπίζει από τους ήχους που κάνουν.;;;;widespread species, occurring on every continent except Antarctica;80 to 95 cm ;430-620 g;Small mammals;unknown
